vw_exporter_name,QUANTITY,UNIT_QUANTITY,PRODUCT_DESCRIPTION,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY,UNIT_QUANTITY
ANNORA,252,PAC,LEVETIRACETAM 500MG TABS (500'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,11223,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,27864,PAC,LEVETIRACETAM 250MG TABS (120'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,10044,PAC,LEVETIRACETAM 500MG TABS (500'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,1620,NOS,"LEVETIRACETAM ORAL SOLUTION 100MG/ML, 47",NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,1620,NOS,LEVETIRACETAM ORAL SOLUTION 100MG/ML 473ML PACK,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,21072,PAC,LEVETIRACETAM 1000MG TABS (60'S PACK),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,2626560,NOS,LEVETIRACETAM 250MG TABS (21888X120'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,7632000,NOS,LEVETIRACETAM 500MG TABS (15264X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,1592,PAC,LEVETIRACETAMORALSOLUTION100MG/ML(473ML),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
ANNORA,1680000,NOS,LEVETIRACETAM 500MG TABS (3360X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,834000,NOS,LEVETIRACETAM 500MG TABS (1668X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,7608000,NOS,LEVETIRACETAM 500MG TABS (15216X500'S PACK),NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS,NOS
ANNORA,11448,PAC,LEVETIRACETAMORALSOLUTION 100 MG/ML(473ML) LEVETIRACETAM 100MG/ML SOLUTION (AS PER INV & PCK LIST),PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
